source_hgnc;interaction_directed_signed;target_hgnc;database;ref;no_ref;source_uniprot;target_uniprot
TNFRSF1B;ACTIVATE;BIRC2;"Laudanna_effects;CancerCellMap;Laudanna_sigflow;Wang;InnateDB";"8548810;8548810;9718306";3;P20333;Q13490
BIRC2;INHIBIT;CASP8;"Wang;BioGRID;Laudanna_sigflow";"12887920;15069192;22274400";3;Q13490;Q14790
FBXO7;ACTIVATE;BIRC2;"Laudanna_effects;HPRD;Laudanna_sigflow;BioGRID;Wang;InnateDB";"16510124;22212761;16510124;16510124";4;Q9Y3I1;Q13490
AXIN1;ACTIVATE;MYC;"Laudanna_effects;BioGRID;Laudanna_sigflow;Wang;SPIKE;IntAct";"20399964;19131971;19131971";3;O15169;P01106
APC2;ACTIVATE;AXIN1;"Wang;Laudanna_effects;Laudanna_sigflow;Signor";9601641;1;O95996;O15169
TGFBR1;ACTIVATE;AXIN1;"Laudanna_effects;Laudanna_sigflow;Wang;PhosphoPoint";NA;0;P36897;O15169
DVL2;ACTIVATE;AXIN1;"Laudanna_effects;Signor;Laudanna_sigflow;Wang;HPRD;ACSN;DIP";"17529994;21245303;10829020";3;O14641;O15169
PPP1CC;INHIBIT;AXIN1;"ACSN;DEPOD;Signor";"17318175;17318175";2;P36873;O15169
AXIN1;INHIBIT;BMPR1A;"SignaLink3;Signor";"21145463;22298955";2;O15169;P36894
AXIN1;ACTIVATE;RNF111;"SignaLink3;Signor;BioGRID;HPRD;IntAct";"1465702;16601693;14657019;16601693;16601693;16601693;16601693";7;O15169;Q6ZNA4
AMER1;ACTIVATE;AXIN1;"Signor;BioGRID";"21304492;17510365;26496610;20128690";4;Q5JTC6;O15169
TNKS;INHIBIT;AXIN1;"ACSN;Signor;LMPID;ELM";"19759537;19759537;22153077;19759537;22153077";5;O95271;O15169
TNKS2;INHIBIT;AXIN1;"Signor;ACSN;ELM;IntAct;LMPID";"19759537;19759537;22153077;19759537;22153077;22153077";6;Q9H2K2;O15169
TRADD;ACTIVATE;CASP8;"SignaLink3;Laudanna_effects;Signor;Laudanna_sigflow;Wang;CancerCellMap;BioGRID;ACSN;InnateDB";"14585074;22421964;14585074;12887920;18776134;12887920;17047155;15173123;22421964";9;Q15628;Q14790
